NAME,LABEL,Z
ZTF22abfskre,SN Ia,0.06
ZTF22aaxgujq,SN II,0.015704
ZTF22aawxlpc,SN Ibn,0.062
ZTF22abgnofu,SN Ia,0.03
ZTF22abfzarj,SN Ia,0.07
ZTF22abgbbal,SN Ia,0.067
ZTF22abfwbgr,SN Ia,0.069
ZTF18acskxpn,SN Ia,0.054
ZTF22abfyjgo,SN Ia,0.072
ZTF18abqxaqe,SN Ia,0.096
ZTF18abrcvbu,SN Ia,0.098
ZTF22abghdno,SN Ia-91T-like,0.071
ZTF22abfwthv,SN Ia,0.075264
ZTF22aaxfqka,SN Ia,-1.0
ZTF22abfweew,SN Ia,0.068
ZTF22abfunxy,SN Ia,0.05
ZTF22abgaymw,SN Ia,0.08
ZTF22abfbjem,SN Ia,0.081
ZTF22abfyyew,SN Ia,0.068
ZTF22abfrbzi,SN Ia,0.092
ZTF22abfoehf,SN II,0.037
ZTF22abfrkoh,SN Ic,0.022
ZTF22abfspdz,SN Ia,0.07
ZTF22abeiiqa,SN I,0.07
ZTF22abcesfo,SN IIn,0.08
ZTF20abrbeie,AGN,0.995
ZTF22abfvvpv,SN Ia,0.059
ZTF22abfyqmh,SN Ia,0.053
ZTF22abfuosd,SN Ia,0.07
ZTF22abdondo,SN II,0.0155
ZTF22abbczmk,SN IIn,0.166
ZTF22abggmuu,SN Ia,0.084927
ZTF22abfytal,SN Ia,0.08
ZTF22abfxwub,SN Ia,0.08
ZTF22abgbfsb,SN Ia,0.043
ZTF22abfviis,SN Ia,0.065
ZTF22abgbbez,SN Ia,0.032719
ZTF22abfvzqg,SN Ia,0.06
ZTF22abfhzie,SN Ia,0.12
ZTF22abfstwn,SN Ia,0.087
ZTF22abfzdjj,SN Ia,0.07552
ZTF22aasycgf,SN Ia,0.01858
ZTF22abfrbnl,SN Ia,0.05
ZTF22aaydcsb,SN Ia,0.0359
ZTF22aaycdbt,SN Ia,0.037
ZTF22aakdwiu,SN Ia,0.04
ZTF22aajsqug,SN Ia,0.05
ZTF22abeltic,SN Ia,0.081
ZTF22abepfmn,SN II,0.05
ZTF22abeioig,SN Ia,0.091
ZTF22abegjkl,SN Ia-91T-like,0.08
ZTF22abeipbi,SN Ia,0.046
ZTF22abbtmdv,SN Ia,0.096
ZTF22abaxqlk,SN Ia,0.088
ZTF22abamnmb,SN Ia,0.07
ZTF22abarhid,SN Ia,0.07
ZTF22abaqzcm,SN Ia,0.051
ZTF22aayjqzc,SN Ia,0.104
ZTF22aaxnxer,SN Ia,0.05
ZTF22aauiabm,SN Ia,0.069
ZTF22aavskaa,SN Ia,0.078
ZTF22aaudeny,SN Ia,0.032
ZTF22aasxakz,SN Ia,0.04
ZTF22aaspijs,SN Ia,0.0942
ZTF22aapmmtu,SN Ia,0.084
ZTF18acpeekw,SN Ic-BL,0.094
ZTF22abgawib,SN Ia,0.08
ZTF22abfmtdy,SN Ia,0.053
ZTF22abemgfd,SN Ia,0.063
ZTF22abehuah,SN Ia,0.054169
ZTF22aaxomex,SN Ia,0.09
ZTF22aaxklbk,SN Ia,0.069
ZTF22abfxkdm,SN II,0.01628
ZTF19abmugyh,SN Ia,0.054
ZTF22abdtcki,SN Ia,0.087
ZTF22abbsbys,SN Ia,0.075
ZTF22abatsyj,SN Ia,0.08
ZTF22aauurbv,SN II-pec,0.008216
ZTF22abevcjl,SN Ia,0.059
ZTF22abewvtv,SN II,0.027
ZTF22abddvec,SN Ia,0.042
ZTF21abxlmuw,SN IIn,0.055
ZTF22abfvibh,SN Ia,0.0233
ZTF22abbmemk,SN Ia,0.082
ZTF22aawptbl,SN II,0.045
ZTF22aajlsrh,SN II,0.031
ZTF22abbecow,SN II,0.02867
ZTF22abeijrg,SN Ia,0.045
ZTF22abdstgi,SN Ia,0.076
ZTF22abbkhja,SN Ia,0.026
ZTF22abafbzv,SN Ia,0.054
ZTF22abaadbc,SN Ia,0.06
ZTF22aazpfxt,SN Ia,0.07
ZTF22aazdxtl,SN Ia,0.0663
ZTF22aayvaoa,SN Ia,0.064
ZTF22abdxbyh,SN Ia,0.064
ZTF22abafcrf,SN Ia-91T-like,0.057
ZTF22aasxgjp,SN Ic-pec,0.012
ZTF22aavobvq,SN II,0.015101
ZTF22abbdxho,SN Ic,0.034
ZTF22aaxtysg,SN Ia,0.03811
ZTF22aavcfed,SN Ia,0.041271
ZTF22abekkwn,SN Ia,0.08
ZTF22abdtddo,SN,-1.0
ZTF22abdtpru,SN Ia,0.073
ZTF22abdxehr,SN Ia,0.111731
ZTF22abdfjjo,SN Ia,0.033
ZTF18abuoilc,AGN,0.33
ZTF22aankzby,SN Ia,0.058
ZTF22abemgir,SN Ia,0.026
ZTF22abdlohy,SN Ia,0.031
ZTF22aahfuaa,SN Ia,0.066
ZTF18abfchzq,SN Ia,0.074
ZTF22abbtqmf,SN Ia,0.085
ZTF22abbiqoi,SN Ia,0.09
ZTF22aayrhvp,SN Ia,0.095
ZTF22aayrixx,SN Ia,0.061019
ZTF22abcsiqk,SN Ia,0.087
ZTF22abbmgne,SN Ia,0.065
ZTF22abanxam,SN Ia,0.04566
ZTF22aayplsv,SN Ia,0.0785
ZTF22aausjcd,SN Ia,0.088
ZTF22aavdxrk,CV,-1.0
ZTF22aaujqll,SN Ia,0.079
ZTF22aarsjvn,SLSN-II,0.29
ZTF22aaygscd,SN II,0.025
ZTF22aaolvwv,SN Ia,0.04
ZTF22abcuiht,SN Ia,0.065
ZTF22abckjon,SN II,0.0389
ZTF22abcbses,SN Ia,0.079
ZTF22abelwtb,SN Ia,0.02
ZTF22aavakpj,SN Ia,0.075
ZTF22abccfni,SN Ia,0.088
ZTF22abbkxor,SN Ia,0.075
ZTF22aazgmum,SN Ia,0.085526
ZTF22aaznbmz,SN Ia-91T-like,0.077
ZTF22aavpkwo,SN II,0.03
ZTF22aaspkif,SN II,0.0805
ZTF18aazjflo,SN II,0.044142
ZTF22aaafrcl,SN II,0.096
ZTF22abaiyaf,SN Ia-SC,0.06
ZTF22aaywnyg,SN II,0.003606
ZTF22aatfjcy,SN IIn,0.066
ZTF22abcckha,SN Ia,0.099
ZTF22abamxcl,SN,-1.0
ZTF22abbmgdo,SN Ia,0.07
ZTF22abayewb,SN Ia,0.063
ZTF22abbaqil,SN Ia,0.089
ZTF22aaylnhq,SN Ia,0.35
ZTF22abcklkb,SN Ia,0.03
ZTF22aausnwr,SLSN-I,0.17
ZTF22aasoxwu,SN II,0.034
ZTF22abbtjlb,SN Ia,0.09
ZTF22aasousd,SLSN-II,0.249
ZTF22aapargp,SN II,0.033
ZTF22aavqjqd,QSO,2.363
ZTF22abatsqa,SN Ia,0.061
ZTF22abakwvc,SN Ia-91bg-like,0.04
ZTF22aavctvq,SN Ia,0.099
ZTF22abbkvbg,SN Ia,0.11
ZTF22aaxtias,SN Ib,0.012
ZTF22aarwwyy,SN Ic-BL,0.0472
ZTF22abakcfy,SN Ia,0.049
ZTF22abaiyyz,SN Ia,0.089
ZTF22aasoali,SN IIn,0.118
ZTF22abaette,SN Ia,0.089
ZTF22abbdajx,CV,-1.0
ZTF22aayfpso,SN Ia,0.064
ZTF22aazuotw,SN Ib,0.033557
ZTF22aatuxpc,SN Ia,0.099
ZTF22aarqrxf,SLSN-I,0.26
ZTF22aapenmy,SN Ia,0.042
ZTF22abakwxh,SN Ia,0.07
ZTF22abbausm,SN Ia,0.029774
ZTF22aaqrszt,SN Ia,0.053
ZTF22abadzpo,SN II,0.029627
ZTF22aazjvid,SN Ia,0.111
ZTF22aaymjam,SN Ia,0.055
ZTF19achqzdy,SN Ia,0.093
ZTF22aatvdon,SN Ia,0.067
ZTF22aatunnt,SN Ib,0.04
ZTF22aasppdz,SN Ia-91T-like,0.087
ZTF22aaskqie,SN Ia,0.044
ZTF22aapscub,SN Ia,0.05
ZTF22aarbard,SN Ib,0.0356
ZTF22aapjrvz,SN II,0.035
ZTF22aamxszf,SN Ia,0.069
ZTF22aamgkdw,SN Ia,0.089212
ZTF22aajsdkt,SN II,0.02
ZTF22abazqjm,CV,0.0
ZTF22abahzeh,SN Ia,0.048994
ZTF22aaynvgi,SN Ia,0.082
ZTF22aawdqfp,SN Ia,0.037
ZTF22aaudjgc,SN II,0.028
ZTF22aausixa,SN Ia,0.034
ZTF22aatpwfw,SN IIP,0.031092
ZTF22aayjsls,SN Ia,0.03
ZTF22aaptcfi,SN Ia,0.039681
ZTF22aaijrci,SN IIP,0.0301
ZTF22abbcnay,LBV,0.009
ZTF22abavsqq,SN Ia,0.08
ZTF22aazjgoi,SN Ia,0.075
ZTF22aayjzmc,SN Ia,0.075
ZTF22aavcyar,SN Ia,0.040208
ZTF22aayrxbb,SN Ia,0.071795
ZTF22aaxzzoc,SN II,0.022476
ZTF22aayobas,SN Ia,0.056
ZTF22aauwyuq,SN Ia,0.09
ZTF22aazprmk,SN Ia,0.1
ZTF22aazuuin,SN IIb,0.019
ZTF19aazdroc,AGN,0.283
ZTF22aavdiim,SN Ia,0.046
ZTF22aasjwqv,SN IIb,0.0605
ZTF22aapqaqe,SN IIP,0.025177
ZTF22aayaemx,SN Ia,0.103
ZTF22aawavtx,SN Ia,0.054
ZTF22aavzfwp,SN Ia,0.08
ZTF22aauvfay,SN Ia,0.087
ZTF22aaudftc,SN Ia,0.0488
ZTF22aaypvib,SN Ia,0.106
ZTF22aawzdti,SN Ia,0.071
ZTF18aawzens,SN Ia,0.091
ZTF18abtjmns,SN II,0.025
ZTF22aayprcr,SN Ia,0.05
ZTF22aattfmb,SN II,0.02349
ZTF22aarrawv,SN IIn,0.03
ZTF22aaoiddx,SN Ia,0.03465
ZTF22aarynsk,SN II,0.004
ZTF22aawfjnt,SN Ia,0.088
ZTF22aatuxjc,SN Ia,0.11
ZTF22aaosjja,SN II,0.0542
ZTF22aaxbape,SN II,0.035
ZTF22aanzrlh,SN Ia,0.023
ZTF22aasdtcq,SN Ia,0.045
ZTF22aaotgrc,SN IIb,0.009
ZTF22aanwibf,SN IIn,0.038
ZTF21aalxxzn,AGN,0.1097
ZTF22aazdzyj,Nova,-1.0
ZTF22aaygzdb,SN Ia,0.07
ZTF22aaveqbx,SN Ia,0.076
ZTF22aauuxul,SN Ia,0.084925
ZTF22aatnyqk,SN Ia,0.036
ZTF22aahhvqj,SN Ia-91T-like,0.0141
ZTF22aauxpfb,SN Ia,0.066
ZTF22aauxzqe,SN Ia,0.076
ZTF22aayjsro,SN Ia-91T-like,0.02
ZTF22aaputwp,SN Ia,0.07813
ZTF22aalmqrv,SN Ia,0.074181
ZTF22aawzgcx,SN Ia,0.069
ZTF22aavwyfw,SN Ia,0.03373
ZTF22aaolwsd,SN II,0.014046
ZTF22aanppbi,SN Ia,0.022279
ZTF22aalorla,SN II,0.06804
ZTF22aawcmcr,SN IIb,0.019
ZTF22aauhism,SN Ia,0.058
ZTF22aauexsq,SN Ia,0.030298
ZTF22aativsd,SN II,0.0183
ZTF22aapkbkl,SN IIn,0.134
ZTF22aasojye,SN II,0.023
ZTF22aapjqpn,SLSN-I,0.47
ZTF22aawtunt,SN Ia,0.0613
ZTF22aaslkoa,SN Ia,0.04
ZTF22aarycqo,SN IIP,0.019
ZTF22aavbezc,SN Ia,0.078
ZTF22aatrusq,SN Ia,0.109
ZTF22aashqrd,SN Ia,0.039
ZTF18acjpret,SN IIn,0.01516
ZTF22aaudmvw,CV,-1.0
ZTF22aaokebo,SN II,0.05
ZTF22aankxcq,SN Ia,0.091
ZTF22aalrcmn,SN Ia,0.065
ZTF22aaknrtp,SN Ia,0.06
ZTF20achamic,SN,0.0989
ZTF22aatuatn,SN Ia,0.07
ZTF22aausgkx,SN Ia,0.077
ZTF22aatghyo,SN Ia,0.054
ZTF22aaohkqz,SN Ia,0.1
ZTF22aawetbp,SN Ia,0.049
ZTF22aatbtqn,SN Ia,0.069
ZTF22aaoippk,SN Ia,0.020954
ZTF22aataizc,SN Ia,0.082
ZTF22aasmgbb,SN Ia,0.073
ZTF22aaryrrl,SN Ia,0.073
ZTF22aarvtbb,SN Ia,0.103
ZTF22aaoolrn,SN Ia,0.084
ZTF22aalfmec,SN Ic,0.0245340001
ZTF21aanxhjv,TDE,0.018
ZTF22aatnyuo,SN Ia,0.1
ZTF22aatixbc,Nova,0.00017
ZTF22aaszlph,SN Ia,0.07
ZTF22aaslyzj,SN Ia,0.08723
ZTF22aasygdq,SN Ia,0.079
ZTF22aasyitj,SN Ia,0.068
ZTF22aajspto,SN Ia,0.084
ZTF22aattwsv,SN Ia,0.0397
ZTF22aartmuz,SN Ia,0.069182
ZTF22aanyggd,SN II,0.04
ZTF22aasyada,SN Ia,0.069966
ZTF22aasfzzf,SN Ia,0.068
ZTF22aaohilj,SN IIn,0.0371
ZTF22aapqwas,SN Ia,0.12
ZTF22aaiidyo,SN IIP,0.024181
ZTF22aarwtqp,SN Ia,0.096
ZTF22aaoxhuh,SN II,0.02
ZTF22aaoxiux,SN Ia,0.033
ZTF22aakaygk,SN II,0.03
ZTF18aahwhbk,SN Ia,0.0449
ZTF21aaqqwsa,AGN,0.083
ZTF22aadesap,TDE,0.073
ZTF22aasthma,SN Ia,0.056
ZTF22aarrbne,SN Ia,0.062
ZTF22aaptzap,SN II,0.0166549999
ZTF22aaojclr,SN Ia,0.035027
ZTF20aacbwbm,SLSN-II,0.148
ZTF22aaptalm,SN Ia,0.115
ZTF22aaqhirm,SN Ia,0.087
ZTF22aaparwk,SN Ia,0.065
ZTF22aadqlhy,SN Ib-pec,0.006
ZTF22aaqiysm,SN Ia,0.05
ZTF22aarwpcf,SN Ia,0.08
ZTF22aaowkts,SN Ia,0.0420189984
ZTF22aanvuvq,SN Ia,0.066
ZTF22aamtomc,SN Ia,0.017
ZTF22aahhywm,SN Ia-SC,0.031
ZTF22aaopawk,SN Ia,0.050785
ZTF22aajeyek,SN II,0.05
ZTF22aaoelte,SN Ia,0.074
ZTF22aarlppe,SN Ia,0.067
ZTF22aapaavr,SN Ia,0.08
ZTF22aahhrks,SN II,0.0426
ZTF22aadeuwu,SLSN-I,0.15
ZTF22aaphdzl,SN Ia,0.063
ZTF22aaoolua,SN Ic,0.0180859994
ZTF22aalzjdc,SLSN-I,0.2
ZTF22aamrkns,SN II,0.041
ZTF22aaozpun,SN Ia,0.093
ZTF22aaoqfsm,SN Ia,0.056
ZTF22aaolexr,SN Ia,0.074
ZTF22aaowhti,SN Ia,0.057
ZTF22aapubaf,SN II,0.017
ZTF22aadnqsf,SN II,0.022579
ZTF22aanmbrl,SN II,0.027
ZTF22aaorbxb,SN Ia,0.075
ZTF22aaofpts,SN Ia,0.076
ZTF22aakzred,SN Ia,0.078
ZTF22aaolcan,SN Ia,0.112
ZTF22aaonqcc,SN Ia,0.057
ZTF22aanumko,SN Ia,0.02874
ZTF22aaohpmz,SN Ia,0.091
ZTF22aaohzok,SN Ia,0.03
ZTF22aamgpzz,SN II,0.0265
ZTF22aajigho,SN Ia,0.070865
ZTF22aaojcoc,SN Ia,0.092
ZTF22aaorjov,SN Ia,0.049
ZTF22aantrtp,SN Ia,0.029761
ZTF22aaljlzq,SLSN-I,0.54
ZTF22aaorkwk,SN Ia,0.078
ZTF22aaobrbd,SN Ia,0.1
ZTF22aaoewrn,SN Ia,0.086
ZTF22aanesux,SN IIn,0.0745
ZTF22aamzzjw,SN Ia,0.087
ZTF22aaohmcv,SN Ia,0.059
ZTF22aamdxkj,SN Ia,0.024
ZTF22aallgci,SN Ia,0.079
ZTF22aaknmbw,SN II,0.06
ZTF22aagzbux,SN IIn,0.127
ZTF22aadrjte,SN Ic-BL,0.161
ZTF22aajjojx,SN IIn,0.093
ZTF22aanjimh,SN Ia-91T-like,0.095
ZTF22aamssbr,SN II,0.03
ZTF22aalqzkz,SN Ia,0.08
ZTF18abnurff,CV,-1.0
ZTF22aangixh,SN Ia,0.05266
ZTF22aaftzcn,SLSN-II,0.208
ZTF22aanjyae,SN IIn,0.068
ZTF22aalsbwt,SN Ia,0.058
ZTF18abklbam,SN II,0.03
ZTF22aalzeui,SN Ia,0.07
ZTF22aaknczk,SN Ia,0.08
ZTF22aahnkdv,SN II,0.014
ZTF22aalxyqn,SN Ia,0.074301
ZTF18aamvfeb,SN Ia,0.031492
ZTF18aaaonon,SN Ia,0.071419
ZTF21abaauot,AGN,0.052483
ZTF22aambnsg,SN Ia,0.078365
ZTF22aakynop,SN Ia,0.073
ZTF22aaknvcz,SN Ia,0.067
ZTF22aajvhrj,SN Ia,0.061916
ZTF22aajhlaj,SN II,0.023583
ZTF22aahwmww,SN II,0.010837
ZTF22aagyuao,TDE,0.12
ZTF22aalwnzj,SN Ia,0.09
ZTF22aamfwtc,SN Ia,0.062
ZTF22aamglev,SN Ia,0.087
ZTF22aakmhas,SN Ia,0.075
ZTF22aajpdbs,SN Ia,0.0694
ZTF22aalzyzl,SN Ia,0.07749
ZTF22aajrfqn,SN Ia,0.088326
ZTF22aaafmxf,SN Ia-pec,0.049
ZTF22aamfjun,SN Ia,0.1
ZTF22aalwbqe,SN Ia,0.068
ZTF22aalwbgz,SN Ia,0.091
ZTF22aaljyqw,SN Ia,0.036
ZTF22aalizik,SN Ia-91T-like,0.096
ZTF22aankymj,SN Ia,0.044678
ZTF22aakrimd,SN Ia,0.085
ZTF22aaksdvi,SN Ia,0.082
ZTF22aakndny,SN Ia-91T-like,0.047
ZTF22aakzsrj,CV,-1.0
ZTF22aakhqrd,CV,0.0
ZTF22aaknmzk,SN Ia,0.089
ZTF22aakdbia,SN II,0.0029
ZTF22aajwlug,SN Ia,0.12
ZTF22aajjawt,SN II,0.027
ZTF22aajhkpo,SN II,0.0333359987
ZTF22aahhzqi,SN Ia,0.0684
ZTF22aalsabr,SN Ia,0.0369689986
ZTF22aalwghb,SN Ia,0.052
ZTF22aamrhna,SN Ia,0.059384
ZTF22aakpwqf,SN Ia,0.067
ZTF22aaklhfg,SN Ia,0.041
ZTF22aaknhja,SN Ia,0.0667
ZTF22aajuhsi,SN Ia,0.065
ZTF22aagyrlp,SN Ia,0.044607
ZTF22aadfnrx,SN II,0.038667
ZTF22aamiomf,SN Ia,0.080068
ZTF22aalmrqp,SN Ia,0.055
ZTF22aakmtrc,SN Ia,0.086
ZTF22aakbzzl,SN Ia,0.09
ZTF22aaegxpa,SN II,0.0401
ZTF22aaddwbo,TDE,0.105
ZTF22aamfvrs,SN Ia,0.075
ZTF22aambfit,SN Ia,0.08
ZTF22aakjjjj,SN Ia,0.046
ZTF22aaijrul,SN Ia,0.09
ZTF22aahgxdt,SN Ia-91bg-like,0.006
ZTF22aaknfly,SN Ia,0.037112
ZTF22aakoxtx,SN Ia,0.04
ZTF22aajkpen,SN IIb,0.015
ZTF22aadgefj,TDE,0.096
ZTF22aadmgan,SN Ia,0.015
ZTF22aakqvzc,SN Ia,0.08
ZTF22aakqruk,SN Ia,0.078
ZTF22aakpvbx,SN Ia,0.054876
ZTF22aalyumh,SN Ia,0.077
ZTF22aalunvy,SN Ia,0.072
ZTF22aakelti,SN II,0.057
ZTF22aakdqqg,SN II,0.01991
ZTF22aajlzbs,SN Ia,0.042
ZTF22aajryew,SN Ia,0.05096
ZTF22aajhkvu,SN Ia,0.05828
ZTF22aajezaq,SN Ia,0.022019
ZTF22aaipocw,SN Ia,0.029787
ZTF22aaijnqy,SN Ia-91T-like,0.082
ZTF22aahhubz,SN Ia,0.097
ZTF22aahhgjh,SN,0.03
ZTF22aahecwj,SN Ia,0.079
ZTF22aagvxjc,SN IIn,0.025
ZTF22aahhlnd,SN Ia,0.051
ZTF22aafoweb,SN Ia,0.05707
ZTF22aadesjc,SN IIn,0.1035
ZTF22aaaovio,SN Ia,0.027
ZTF22aamgjeh,SN Ia,0.057
ZTF22aaldrem,SN Ia,0.058
ZTF22aakyrye,SN Ia,0.081
ZTF22aakitdm,SN Ia,0.08
ZTF22aajnffd,SN Ia,0.061
ZTF22aaezyos,SN Ib,0.033
ZTF22aaeaktc,SN Ia,0.08
ZTF22aaddtiu,SN II,0.03735
ZTF22aalpfln,SN Ia-91T-like,0.0862883
ZTF22aahebcu,SN Ia,0.042
ZTF22aagvgwl,SN II,0.025
ZTF22aakpyqw,SN Ib,0.03
ZTF22aakbknj,SN,0.0767
ZTF22aakcvbr,SN Ia,0.045291
ZTF22aajtsxd,CV,-1.0
ZTF22aahmbwn,SN Ia,0.058
ZTF22aadoihx,SN Ib,0.010411
ZTF22aadpuwe,SN IIP,0.0091
ZTF22aadfbbs,SN II,0.024
ZTF22aaketce,SN Ia,0.077
ZTF22aahwlcv,SN Ia,0.064
ZTF22aaddorn,SN Ia,0.021103
ZTF22aacrugz,SN Ia,0.027
ZTF22aajakms,SN Ib/c,0.0335
ZTF22aajcupz,SN IIn,0.0748
ZTF22aahgubb,SN II,0.021
ZTF22aagetzx,SN Ia,0.026
ZTF22aadkowq,SN Ia,0.037
ZTF22aadksbz,SN II,0.012
ZTF22aakkmri,SN Ia,0.04
ZTF22aajijjf,SN Ia,0.03
ZTF22aajhtpy,SN Ia,0.035
ZTF22aahndul,SN Ia,0.084503
ZTF22aadewot,SN II,0.036
ZTF22aakethm,SN Ia,0.053
ZTF22aajsbbl,SN Ia,0.054
ZTF22aajpgof,SN Ia,0.07
ZTF22aaitzvr,SN II,0.04
ZTF22aahhgfx,SN II,0.008
ZTF18aaqldvl,SN Ia,0.063
ZTF22aakcnxq,SN Ia,0.071996
ZTF22aajlruz,SN Ia,0.09
ZTF22aakejxf,SN Ia-91bg-like,0.0687
ZTF22aajrrzz,SN Ia,0.034129
ZTF22aajjasl,SN Ia,0.0377959982
ZTF22aajhyin,SN II,0.03
ZTF22aajidyk,SN Ia,0.049
ZTF22aajhsbn,SN Ib,0.022
ZTF22aafffpq,SN Ia,0.049751
ZTF22aaecenq,SN Ia,0.056
ZTF22aakquvw,SN Ia,0.031465
ZTF19abkromi,SN Ia,0.06
ZTF22aajsqdv,SN Ia,0.068
ZTF22aahiyfc,SN Ia,0.066
ZTF22aakemmo,SN Ia,0.057239
ZTF22aakjlau,SN Ia,0.076
ZTF22aajrwmu,SN Ia,0.093761
ZTF22aajrjrc,SN Ia,0.0464319997
ZTF22aajjlin,SN Ia,0.094
ZTF22aaijrcl,SN Ia,0.049088
ZTF22aagtrsh,SN Ia,0.087439
ZTF22aaeigxr,SN Ia,0.066
ZTF22aaizxqg,SN Ia,0.09
ZTF22aaimgvi,SN Ia,0.078
ZTF22aahaasc,SN Ia,0.03
ZTF22aafracj,SN Ia,0.03
ZTF22aajvkrd,SN Ia,0.077
ZTF22aajhlat,SN Ia,0.076
ZTF22aafqaew,SN Ia,0.07
ZTF22aaiiikj,SN Ia,0.0196070001
ZTF22aajiynq,SN Ia,0.084
ZTF22aahwcya,SN Ia,0.0653
ZTF22aaibhya,SN Ia,0.0855
ZTF22aaialae,SN II,0.033047
ZTF20aasivtu,AGN,0.223
ZTF22aajpzwm,SN Ia,0.043647
ZTF22aaimbfz,SN Ia,0.078
ZTF22aajhtvl,SN Ia-91T-like,0.152
ZTF22aabxuxf,SN IIn,0.085
ZTF22aadpscu,LBV,0.00239
ZTF20abbhlct,AGN,0.061759
ZTF18abrzevn,AGN,0.045399
ZTF22aaikzzr,SN Ia,0.063233
ZTF22aahoxbx,SN Ia,0.081
ZTF22aafiwtv,SN Ia,0.019
ZTF22aadnjsh,SN Ib,0.024
ZTF22aahyqck,SN Ia,0.061
ZTF22aahedwz,SN IIn,0.067
ZTF19abmmksy,AGN,0.0835
ZTF22aahygkd,SN Ia,0.0752
ZTF22aaebkwd,SN Ib,0.0354
ZTF22aahibvx,SN II,0.0343
ZTF22aaffaah,SN Ia,0.077496
ZTF22aadqgoa,SLSN-I,0.39
ZTF22aadetzs,SN Ia,0.119
ZTF22aahhocd,SN Ia,0.078
ZTF20aaruwbp,SN Ia,0.059694
ZTF22aadghdv,SN Ia,0.067
ZTF22aadlpkc,SN Ib,0.042
ZTF22aaaepmu,SN II,0.031
ZTF22aaekgxv,SN Ia,0.048
ZTF19abkxeft,SN II,0.0368
ZTF22aaevnvp,SN Ia,0.073
ZTF22aafdaai,SN Ia,0.08
ZTF22aafsqud,SN II,0.023
ZTF22aaemgsl,SN Ia,0.062604
ZTF22aaddvbe,SN Ia,0.052
ZTF22aabjpii,SN II,0.044
ZTF22aaafeiu,SN Ia,0.0301
ZTF22aafrsmk,SN Ia,0.036061
ZTF22aafnqfz,SN Ia,0.05447
ZTF22aafnqtw,SN Ia,0.05013
ZTF22aaettxg,SN Ia-91T-like,0.09
ZTF22aabuamq,AGN,0.074
ZTF22aaabovl,TDE,0.124
ZTF22aagtxzo,SN Ia,0.0817
ZTF22aaemoot,SN II,0.025
ZTF22aadkocy,SN Ia,0.026355
ZTF22aaevwec,SN II,0.031218
ZTF22aaecdin,SN IIb,0.03
ZTF22aaerfpk,SN Ia,0.076
ZTF22aadolze,SN Ia-91T-like,0.0535
ZTF22aadolby,SN II,0.02
ZTF22aafoqrd,SN Ia,0.0047
ZTF22aaefjef,SN Ia,0.073
ZTF22aaeaqmz,SN Ia,0.067
ZTF22aaedrzw,SN Ia,0.069441
ZTF22aadfgpu,SN Ia,0.073
ZTF22aadlnaf,SN Ia,0.038
ZTF22aadggnb,SN Ia,0.08
ZTF22aadeurv,SN Ia,0.06
ZTF22aadgsdi,SN Ia-CSM,0.066
ZTF22aaezjuu,SN Ia,0.06
ZTF22aaejjtb,SN Ia,0.065
ZTF18aajkrxi,SN Ia,0.08027
ZTF22aadkxhp,SN Ia,0.061
ZTF19acfqtej,SN Ia,0.035017
ZTF22aadknec,SN Ia,0.06
ZTF22aaahull,SN Ia,0.087
ZTF22aaflcke,CV,-1.0
ZTF22aaemhwl,SN Ia,0.033128
ZTF22aabzsqo,SN II,0.03
ZTF22aaektkm,SN Ia,0.065
ZTF18aatmlsy,SN Ia,0.03
ZTF22aadedjt,SN Ia,0.06
ZTF22aadfbim,SN Ia,0.076
ZTF22aadeqoe,SN Ia,0.088
ZTF22aadlmgg,SN Ia-91bg-like,0.046
ZTF22aadoypp,SN II,0.036
ZTF22aaedgbt,SN Ia,0.085
ZTF22aadfstk,SN Ia,0.079
ZTF22aadfecx,SN Ia,0.058
ZTF22aademuj,SN Ia,0.07901
ZTF22aadfcnz,SN Ia,0.075
ZTF22aadetzg,SN Ia,0.064921
ZTF21abmwftm,TDE,0.176
ZTF22aaecoej,SN Ia,0.09
ZTF22aadthro,SN Ia,0.032759
ZTF22aadltbv,SN Ia,0.105
ZTF22aadexro,SN Ia,0.072135
ZTF22aadliib,SN Ia,0.11
ZTF22aadeqxu,SN Iax[02cx-like],0.009
ZTF22aadljkb,SN IIP,0.010134
ZTF22aaddsxu,SN Ia,0.081
ZTF22aaaedas,TDE,0.107
ZTF22aadiujq,SN Ia,0.027429
ZTF22aaedtvn,SN Ia,0.078
ZTF22aaambwy,SN II,0.033
ZTF22aaemvhi,SN Ia-CSM,0.023
ZTF22aacdfsw,SN Ia,0.063798
ZTF22aadfkzb,SN Ia,-1.0
ZTF22aadfrjm,SN Ia,0.05
ZTF18acszuad,SN Ia,0.0411
ZTF21abmfrad,SN Ia,0.046
ZTF22aadfjze,SN Ia,0.051871
ZTF22aadevoi,SN Ia,0.0695
ZTF21acfiqtd,SN Ia,0.0824
ZTF22aabwuwv,SN Ia-91T-like,0.079
ZTF22aabwxnp,SN Ia,0.084
ZTF22aaafjoc,SN II,0.039
ZTF22aaajuiz,SN Ia,0.091
ZTF22aaaenuc,SN Ia,0.048
ZTF22aaaepjq,SN Ia,0.047
ZTF22aaacvyy,SLSN-II,0.15
ZTF22aacnxuw,SN Ia,0.084
ZTF22aabwfss,SN Ia,0.084
ZTF22aaafgwq,SN Ia,0.024981
ZTF22aadqkuv,SN Ia-91T-like,0.1
